time	latitude	longitude	depth	mag	magType	nst	gap	dmin	rms	net	id	updated	place	type
2015-09-16T18:00:48.140Z	33.9873333	-116.3718333	11.239	0.63	ml	20	67	0.05574	0.23	ci	ci37243679	2015-09-16T18:14:18.363Z	"12km ENE of Desert Hot Springs, California"	earthquake
2015-09-16T17:57:06.530Z	34.1388333	-116.8578333	11.712	0.84	ml	27	62	0.07895	0.16	ci	ci37243671	2015-09-16T18:09:09.234Z	"13km SSE of Big Bear Lake, California"	earthquake
2015-09-16T17:26:38.540Z	46.3196667	-122.3608333	16.544	0.35	md	12	143	0.01932	0.17	uw	uw61066377	2015-09-16T17:45:06.100Z	"27km SSW of Morton, Washington"	earthquake
2015-09-16T16:47:03.720Z	34.138	-116.8575	11.295	2.16	ml	67	26	0.07871	0.11	ci	ci37243623	2015-09-16T17:49:39.332Z	"13km SSE of Big Bear Lake, California"	earthquake
2015-09-16T16:41:22.780Z	34.1315	-116.8536667	1.102	0.96	ml	15	114	0.1418	0.24	ci	ci37243615	2015-09-16T16:45:21.646Z	"14km SSE of Big Bear Lake, California"	earthquake
2015-09-16T16:31:14.000Z	59.3388	-153.2312	92.6	2.3	ml				0.68	ak	ak11703890	2015-09-16T16:57:18.904Z	"92km WSW of Anchor Point, Alaska"	earthquake
2015-09-16T16:15:01.230Z	47.7146667	-113.6911667	2.88	0.29	md	6	219	0.262	0.08	mb	mb80098169	2015-09-16T16:50:43.990Z	"34km ENE of Pablo, Montana"	earthquake
2015-09-16T16:14:06.120Z	34.1363333	-116.8561667	10.931	2.39	ml	91	22	0.07871	0.16	ci	ci37243599	2015-09-16T17:29:18.021Z	"13km SSE of Big Bear Lake, California"	earthquake
2015-09-16T16:10:47.330Z	34.1386667	-116.8568333	11.147	4.01	mw	151	20	0.07954	0.14	ci	ci37243591	2015-09-16T18:15:39.221Z	"13km SSE of Big Bear Lake, California"	earthquake
2015-09-16T16:02:49.430Z	37.5205	-118.7881667	7.91	0.81	md	21	138	0.06222	0.03	nc	nc72525846	2015-09-16T17:50:33.680Z	"21km SE of Mammoth Lakes, California"	earthquake
2015-09-16T15:58:08.550Z	36.661499	-121.2838364	4.51	1.34	md	10	69	0.009792	0.06	nc	nc72525841	2015-09-16T15:59:42.930Z	"18km SSE of Ridgemark, California"	earthquake
2015-09-16T15:36:49.877Z	41.8342	-119.6477	9.1	2	ml	7	123.57	0.164	0.1809	nn	nn00510926	2015-09-16T17:48:15.960Z	"69km SE of Lakeview, Oregon"	earthquake
2015-09-16T15:32:54.000Z	60.7101	-150.5961	45	1.6	ml				0.22	ak	ak11703801	2015-09-16T15:58:00.410Z	"21km NNE of Sterling, Alaska"	earthquake
2015-09-16T15:22:24.270Z	-6.0289	151.4754	10	5.3	mb		42	1.95	1	us	us20003jzk	2015-09-16T15:45:32.577Z	"156km ESE of Kimbe, Papua New Guinea"	earthquake
